,noten,tag
Zoete aardappelsoep,False,lunch
"Mosselen met gember, sake en limoenblad",False,hoofdgerecht
Salade met gegrilde nectarine en burrata ,False,hoofdgerecht
Koude noedelsalade met kruidenolie,False,hoofdgerecht
Kruidenquiche met ham en prei,False,hoofdgerecht
Pasta met kruidenpangrattato,False,hoofdgerecht
Pizza al tartufo,False,hoofdgerecht
Salade Niçoise,False,hoofdgerecht
Paella met garnalen en mosselen,False,hoofdgerecht
Quinoasalade met groene asperges en witte kaas,False,hoofdgerecht
Harissaburger met bonensalade,False,hoofdgerecht
Geroosterde aubergine met miso en rijst,False,hoofdgerecht
Courgettesalade met gegrilde aubergine en volkorencroutons,False,hoofdgerecht
Pastasalade pesto met burrata ,False,hoofdgerecht
Orzosalade met olijf en prosciutto,False,hoofdgerecht
Gebakken bloemkoolrijst met zalm en shanghaipaksoi,False,hoofdgerecht
Kippenpoten met granaatappelmarinade,False,hoofdgerecht
Zalmfilet met miso-limoenmarinade,False,hoofdgerecht
Varkenshaasspiesjes met honing-sojaglaze,False,hoofdgerecht
Lamskoteletten met dressing,False,hoofdgerecht
Gegrilde courgette met knoflookrub,False,hoofdgerecht
Gevulde regenboogforel met gepofte krieltjes,False,hoofdgerecht
Bolletje met homemade eiersalade en veldsla,False,lunch
Regenboog-sandwich,False,lunch
"Turks brood met feta, wortel en harissa",False,lunch
Tramezzini met zalm,False,lunch
"Dikke speltsandwich met kip, avocado en spinaziedressing",False,lunch
"Hollandse club sandwich met spek, kip en gebakken ei",False,lunch
Rijstsalade met sperziebonen en tonijn-dillesaus,False,hoofdgerecht
Koolhydraatarme wrap van sla,False,lunch
Katsu sando,False,lunch
Wrap-hapjes met avocado en mango,False,lunch
Broodje carpaccio,False,lunch
Orzo met kip en garnalen,False,hoofdgerecht
Gegratineerde orzo met champignons en broccolirijst,False,hoofdgerecht
Orzo met spinazie en kruiden,False,hoofdgerecht
"Vegan pancakes met kokos, mango en ananas",False,lunch
"Vegan pannenkoeken met havermout, banaan en bosbessen",False,lunch
Vegan pannenkoeken met 'spek' en 'kaas',False,lunch
Bladerdeegrolletjes met kip en vijgenspread,False,hoofdgerecht
Pita vegan shoarma met srirachamayo,False,hoofdgerecht
Mini-krieltjes met warmgerookte zalm &amp; ricotta-yoghurtspread,False,hoofdgerecht
Couscoussalade met courgette en witte kaas,False,hoofdgerecht
Spaghetti met spinazie en avocado-alliolisaus,False,hoofdgerecht
Snelle risotto met spinazie en cherrytomaten ,False,hoofdgerecht
"'Pokébowl' met meloen, mango en avocado",False,hoofdgerecht
Spaghetti met tomatensaus en parmezaan,False,hoofdgerecht
Andijviestamppot met radijs en mosterd-speklapjes,False,hoofdgerecht
"Traybake met feta, tomaat, asperges en olijven",False,hoofdgerecht
Omelet met courgette-spaghetti en rauwkost,False,hoofdgerecht
Broodje kipburger met snelle salade,False,hoofdgerecht
Gehaktballetjes in tomatensaus,False,hoofdgerecht
Pasta pesto van radijsgroen en gebakken radijsjes,False,hoofdgerecht
Gemarineerde kipspiesjes van de BBQ met platbrood en knoflooksaus,False,hoofdgerecht
Gegrilde zalm van de BBQ met dillesaus en krieltjes,False,hoofdgerecht
Voetbalveld-plaatpizza,False,hoofdgerecht
Pastasalade met pesto en garnalen,False,hoofdgerecht
"Noedelsoep met biefstuk, groenten en gekookt ei",False,hoofdgerecht
Koolhydraatarme ovenschotel met gehakballetjes en broccoli,False,hoofdgerecht
Koolhydraatarme ovenschotel met maistortilla en avocado,False,hoofdgerecht
Taco's met kruidige kip en frisse salsa,False,hoofdgerecht
Hartige taart met kormagroente en kokosmelk,False,hoofdgerecht
Salade van kikkererwten met quinoa,False,hoofdgerecht
Wraps met jalapeño-mayonaise,False,hoofdgerecht
Kerrierijstschotel met groenten en Alaska zalm,False,hoofdgerecht
Zwarte-bonensalade met mais en garnalen,False,hoofdgerecht
Tom kha kai,False,hoofdgerecht
Vega poké bowl,False,hoofdgerecht
Nasi goreng,False,hoofdgerecht
Noedelsoep,False,hoofdgerecht
Chicken curry madras,False,hoofdgerecht
Thaise gele curry met garnalen en peultjes,False,hoofdgerecht
Rendang Padang van Vanja van der Leeden,False,hoofdgerecht
Vega sushi maki,False,hoofdgerecht
Harira,False,hoofdgerecht
Tajine van kip en gekonfijte citroen,False,hoofdgerecht
Libanese kefta,False,hoofdgerecht
Pita  falafel,False,hoofdgerecht
Shakshuka,False,hoofdgerecht
Henna gadra's tajine van Nadia Zerouali,False,hoofdgerecht
Gestoomde couscous met groenten in lichte saffraanbouillon van Nadia Zerouali§,False,hoofdgerecht
Enchilada's,False,hoofdgerecht
American style taco's,False,hoofdgerecht
Burrito's,False,hoofdgerecht
Chili con carne,False,hoofdgerecht
Aardappelpom van Judith Cyrus,False,hoofdgerecht
Arepa's met gehakt en kaas,False,hoofdgerecht
Rijstsalade met edamame bonen,False,hoofdgerecht
"Noedelsoep met kip, spinazie en ei",False,hoofdgerecht
Aardappeltortilla met aioli en salsa,False,hoofdgerecht
Dunne crackers met ricotta-fetaspread en asperges,False,lunch
Rijst met kabeljauw en chipotlesaus,False,hoofdgerecht
Auberginecurry met bloemkoolrijst,False,hoofdgerecht
Kip 'tikka massala' met ovengroente en yoghurtdip,False,hoofdgerecht
Kabeljauwburger met peterselie-mayo en salsa,False,hoofdgerecht
Vegan curry met pitabroodjes,False,hoofdgerecht
Entrecote van de bbq met blauwaderkaas-jalapeñoboter,False,hoofdgerecht
Ultieme cheeseburger van de bbq,False,hoofdgerecht
Côte de boeuf van de bbq met komkommer salsa,False,hoofdgerecht
Bbq-regenboogforel met citroen en geroosterde venkel,False,hoofdgerecht
"Mini frittata's met broccolirijst, kikkererwten en witte kaas",False,lunch
Baked 'feta' pasta met burrata,False,hoofdgerecht
Congee,False,hoofdgerecht
"Falafel-quinoaburger met zuivelspread, slamelange, rode biet en komkommer",False,hoofdgerecht
"Zalm-macaronisalade met romaatjes, courgette en basilicumdressing",False,hoofdgerecht
Vezelrijk knäckebröd met avocado en mango,False,lunch
"Quesadilla’s met zwarte bonen, pompoen en paprikasalsa",False,hoofdgerecht
Groene-groentesoep met andijvie,False,lunch
Kipkerriebroodje met courgette-maissalade,False,hoofdgerecht
"Toast met mozzarella, tomaat en ingelegde rode ui",False,lunch
"Volkorenbolletje met zuivelspread, komkommer en gerookte zalm",False,lunch
"Volkoren pitatosti met spinazie, tomaat en mozzarella",False,lunch
"Gevulde paprika’s met zilvervliesrijst, rulstukjes, tomaat en witte kaas",False,hoofdgerecht
"Spaghetti met tuinerwten, spinazie en pangrattato",False,hoofdgerecht
"Witlofsalade met kikkererwten, appel, druiven en walnoten",False,lunch
"Veldslastamppot met wortel, salade-ui en gehaktballetjes",False,hoofdgerecht
Toast met citroenricotta en komkommer,False,lunch
Halloumi met shoarmakruiden en platbrood,False,hoofdgerecht
Sticky drumsticks met aardappeltjes en koolsalade,False,hoofdgerecht
"Couscous met broccoli, asperges en ei",False,hoofdgerecht
Groentepasta met kipballetjes in tomatensaus,False,hoofdgerecht
Vega burger met kaas en augurkenblokjes,False,hoofdgerecht
Vogelnestje,False,hoofdgerecht
Smörgåstårta (Zweedse sandwichtaart),False,lunch
Lente-erwtensoep met dille en munt ,False,hoofdgerecht
Spanakopita,False,hoofdgerecht
Lamsrack met chimichurri en krieltjes,False,hoofdgerecht
Gegrilde lamskotelet met munt en komijn,False,hoofdgerecht
"Risotto met tuinbonen, citroen en pecorino ",False,hoofdgerecht
Aardappelsalade met witte asperges en zalm,False,hoofdgerecht
Speltbroodje met fenegriekgeitenkaas en granaatappelcompote,False,lunch
"Pasta met bloemkool, gesmoorde ui en spekjes",False,hoofdgerecht
Gebakken sperziebonen en kruidig gehakt met witte rijst ,False,hoofdgerecht
Traybake van kip met broccoli en zoete aardappel,False,hoofdgerecht
Bonenschotel met ei en verse kruiden ,False,hoofdgerecht
"Zalm met noedels, paksoi en sesam-limoendressing",False,hoofdgerecht
"Naan met gebakken feta, hummus en groente",False,hoofdgerecht
Currysoep met garnalen en rijstnoedels,False,hoofdgerecht
"Ravioli met rodekool, rauwe ham en rucola",False,hoofdgerecht
Romige tortelloni met witte asperges en zalm,False,hoofdgerecht
Jackfruit-curry met 'roti',False,hoofdgerecht
Knäckebröd met rivierkreeftjes en mango,False,lunch
Linzen-tomatensoep met pompoen,False,hoofdgerecht
Kabeljauw-pakketjes met rauwe ham,False,hoofdgerecht
Bloemkoolrijst-schotel met rode kidneybonen,False,hoofdgerecht
Traybake met kip en mosterd,False,hoofdgerecht
"Vegan curry met aardappel, boerenkool en kokosmelk",False,hoofdgerecht
Vega gehakt van tofu met mie en paksoi,False,hoofdgerecht
Pompoencurry met tofu,False,hoofdgerecht
Sticky tofu met groente en rijst,False,hoofdgerecht
Gepofte knolselderij met geroosterde aardappelen en sla,False,hoofdgerecht
Traybake met vegetarische balletjes en ovengroenten,False,hoofdgerecht
Vega lasagne bolognese,False,hoofdgerecht
Vegan hotdog met zuurkool en mosterdmayo,False,lunch
Vegetarische maaltijdsalade met groente-nuggets,False,hoofdgerecht
Pasta met spinazie en gorgonzola-roomsaus,False,hoofdgerecht
"Vegetarische wraps met zwarte bonen, paprika en cottagecheese",False,hoofdgerecht
Zoete aardappel uit de oven met kikkererwten en rodekool,False,hoofdgerecht
"Pizza met mozzarella, paddenstoelen en salami",False,hoofdgerecht
Broodje vegetarische filet americain met ei en rode ui,False,lunch
"Boerenkoolsalade met rode biet, geitenkaas en ingelegde ui",False,lunch
Winterpeen-walnootspread op naanbrood,False,lunch
Spitskoolsoep met prosciuttoperline,False,hoofdgerecht
Mezzi rigatoni met ansjovis-pangrattato,False,hoofdgerecht
Wortel-gehaktballetjes met rijst en sperziebonen,False,hoofdgerecht
"Ovenschotel met volkorenpasta, broccoli en witte kaas",False,hoofdgerecht
Volkorencouscous met kipgehaktballetjes en spinazie,False,hoofdgerecht
Gnocchi met cavolo nero en braadworst,False,hoofdgerecht
Fish and chips,False,hoofdgerecht
Aardappel-broccolisoep met volkoren kruiden crostini,False,hoofdgerecht
"Koolhydraatarme lunch: maaltijdsalade met quinoa, courgette en tonijn",False,lunch
Gehaktbal met gekookte aardappelen en sperziebonen,False,hoofdgerecht
Slavink met gekookte aardappelen en bloemkool,False,hoofdgerecht
Boerenkool met worst en spekjes,False,hoofdgerecht
Spruitjesgratin met gehakt,False,hoofdgerecht
Gebakken aardappeltjes met worst en sla,False,hoofdgerecht
Hollandse 'nasi' met satésaus ,False,hoofdgerecht
Kip kerrie met sperziebonen,False,hoofdgerecht
Spaghetti bolognese met geraspte kaas,False,hoofdgerecht
Pasta pesto met kip en tomaat,False,hoofdgerecht
Macaroni met ham en courgette,False,hoofdgerecht
Kipburger met gebakken aardappel &amp; spinazie,False,hoofdgerecht
Zuurkool met spek,False,hoofdgerecht
Hutspot met gehaktbal,False,hoofdgerecht
"Aardappelpuree met witlof, ham en kaas",False,hoofdgerecht
Kip met paprika in zoetzure saus,False,hoofdgerecht
Spaghetti carbonara met tuinerwten,False,hoofdgerecht
Bami met kip en pindasaus,False,hoofdgerecht
Pita shoarma met rauwkost,False,hoofdgerecht
Wraps met tomaat en gehakt,False,hoofdgerecht
Aardappeltjes uit de oven met kip en broccoli,False,hoofdgerecht
Snelle bowl met bloemkoolrijst en zalm,False,hoofdgerecht
"Gestoofde sukadelapjes met paprika, pastinaak en witte bonen",False,hoofdgerecht
Rodekool met pompoenpuree en worst,False,hoofdgerecht
Geitenkaassalade met croutons van mueslibrood,False,lunch
Volkoren-quesadillas met spinazie en avocado-mangosalsa,False,hoofdgerecht
Wortelsoep met volkoren-kruidencroutons,False,hoofdgerecht
"Frittata met zoete aardappel, witte kaas en spinaziesalade",False,hoofdgerecht
Volkorenpenne met spruitjes en ansjovis,False,hoofdgerecht
"Kipfilet met tomaat, mozzarella en prei-aardappelstamp",False,hoofdgerecht
"Volkorenpasta met kip, Chinese kool, gember en tahin",False,hoofdgerecht
"Karbonades met champignonroomsaus, broccoli en rijst",False,hoofdgerecht
"Ovenschotel met zoete aardappel, bonen, avocado en ricotta ",False,hoofdgerecht
Gegrilde-preisoep met zalm,False,hoofdgerecht
Volkoren mac and cheese met pompoen,False,hoofdgerecht
Hamburger van gehakt en groenten,False,hoofdgerecht
Hartige wafels met kip en guacamole,False,hoofdgerecht
Romige risotto met broccoli,False,hoofdgerecht
Ovenschotel met puree en worst,False,hoofdgerecht
Noedelsoep met kip ,False,hoofdgerecht
"Courgette-spaghetti met room, champignons en spekreepjes",False,hoofdgerecht
Lasagne van knolselderijbladen met gehakt en olijven,False,hoofdgerecht
Ovenschotel met tortillachips,False,hoofdgerecht
"Kipstoof met pompoen, zwarte bonen &amp; Carribean spice",False,hoofdgerecht
Volkorenpasta met zalm en tomaat uit de oven,False,hoofdgerecht
Zoete-aardappelstamppot met tonijn,False,hoofdgerecht
"Kippendij uit de oven met ansjovis-citroenmarinade, broccoli en aardappelschijfjes ",False,hoofdgerecht
Ravioli met geroosterde aubergine en ricotta ,False,hoofdgerecht
Roggebrood met avocado en tonijn,False,lunch
Snijbonenstamppot met prei en tartaar,False,hoofdgerecht
Gezonde toast met geraspte tomaat en mozzarella,False,lunch
"Kippensoep met mais, zoete aardappel en zilvervliesrijst",False,hoofdgerecht
Gezonde sandwich met roerei en gebakken spinazie,False,lunch
Volkoren spaghetti met kipgehaktballetjes in tomatensaus en courgette,False,hoofdgerecht
"Rijstsalade met komkommer, tuinerwten en gerookte zalm",False,lunch
Volkoren noedels met geroosterde broccoli en gehakt,False,hoofdgerecht
Tosti-geitenkaas met tomaat en rucola,False,lunch
"Dahl met rode linzen, sperziebonen en gekookt ei",False,hoofdgerecht
"Gezonde wraps met komkommersalade, cottagecheese en makreel",False,lunch
"Gezonde toast met zuivelspread, gebakken peer en rozijnen",False,lunch
"Gezonde shakshuka met aubergine, paprika, tomaat en volkoren pita",False,hoofdgerecht
Geroosterde-tomatensoep met witte bonen en kaastoast,False,hoofdgerecht
"Rijstbowl met kibbeling, koolsalade, radijs en dressing",False,hoofdgerecht
Volkorencouscous met geroosterde venkel en mangoyoghurt,False,hoofdgerecht
"Gezonde pannenkoeken met groente, veldsla en rosbief",False,lunch
Muesli-notenbrood met komijnekaas en komkommer,False,lunch
Falafelballetjes uit de oven,False,hoofdgerecht
Ei-wrap met spinazie en zalm,False,lunch
Koolhydraatarme lunch-salade met gegrilde makreelfilet en venkel,False,lunch
Koolhydraatarme ovenschotel met kip en gegrilde groente,False,hoofdgerecht
Bloemkoolrisotto met aubergine &amp; Grana Padano,False,hoofdgerecht
"Wokgerecht met quinoa, zalm &amp; sojasaus",False,hoofdgerecht
Kalkoen met noten-sjalottenballetjes,False,hoofdgerecht
"Rotolo met spinazie, gorgonzola en saliebotersaus",False,hoofdgerecht
Côte de boeuf met koffie-speculaaskruidenrub,False,hoofdgerecht
Beenham met glaze van mosterd en kruidnagel,False,hoofdgerecht
Gebraden knolselderij met mosterdkruim,False,hoofdgerecht
Zalm met bladerdeeg en dillerijst,False,hoofdgerecht
"Kabeljauwfilet met mosselen, wortel en zeekraal",False,hoofdgerecht
Eendenborst met pommes Maxim's en rodewijnsaus,False,hoofdgerecht
"Hertenbiefstuk met spek, miso en knolselderijpuree",False,hoofdgerecht
Varkenshaas met aardappel-knoflookpuree,False,hoofdgerecht
Kerst-burger met cranberry-ketchup,False,hoofdgerecht
Spinazie-feta-bladerdeegtaartje,False,hoofdgerecht
Sushi-cake,False,hoofdgerecht
Kerstbrunch-kerstboom met kaas en spinazie,False,lunch
Pasta boerenkool en tahin,False,hoofdgerecht
Quinoa met geroosterde pompoen en geitenkaas,False,hoofdgerecht
Pasta met confit de canard,False,hoofdgerecht
Gezonde kerstboombroodjes,False,lunch
Broodslakken op een prikker,False,lunch
Biefstuk in oestersaus met paksoi en sojabonen,False,hoofdgerecht
Ravioli met romige tijmsaus en kaassnippers,False,hoofdgerecht
Kabeljauw met groene asperges en vadouvansaus,False,hoofdgerecht
Romige pasta vegakip met Italiaanse roerbakgroente,False,hoofdgerecht
Italiaanse roerbakgroente met cannellini bonen en garnalen in tomatensaus,False,hoofdgerecht
"Gevulde pasta met spek, Italiaanse roerbakgroente en pesto",False,hoofdgerecht
Flatbread met falafel en tzatziki,False,hoofdgerecht
Ovencurry met kabeljauw en rijst,False,hoofdgerecht
"Traybake met kikkererwten, kipgehaktballetjes en garam masala",False,hoofdgerecht
Tomahawk&nbsp;van de bbq met baharat en&nbsp;geroosterde-auberginesaus ,False,hoofdgerecht
Gevuld Turks brood met kip-kebabsalade,False,hoofdgerecht
"Ovengroente met linzen, avocado en tahinisaus",False,hoofdgerecht
Gnocchi met truffelsaus &amp; bloemkool,False,hoofdgerecht
Gestoofde kip met speculaaskruiden,False,hoofdgerecht
"Kiptajine met harissa, tuttifrutti &amp; couscous ",False,hoofdgerecht
"Kabeljauw met shoarmakruiden, venkel en broccolirijst",False,hoofdgerecht
Spätzle met spinazie-ricotta en oventomaatjes,False,hoofdgerecht
Hutspot met gekaramelliseerde wortel,False,hoofdgerecht
Boerenkoolstamppot met sticky speklapje,False,hoofdgerecht
"Stamppot sla, paprika en falafel",False,hoofdgerecht
Andijviestamppot met zalm,False,hoofdgerecht
Zuurkoolstamppot met truffelsalami,False,hoofdgerecht
Vega burger met geroosterde wintergroenten,False,hoofdgerecht
"Spinazietaart met boerenkool, ricotta en tonijn",False,hoofdgerecht
Rijstschotel met kipgehaktburgers en roomsaus,False,hoofdgerecht
Stamppot met Italiaanse groente en braadworst,False,hoofdgerecht
Pasta met pompoen en walnoten-knoflookkruim,False,hoofdgerecht
Zoete aardappelcurry met naanbrood van Shane Kluivert,False,hoofdgerecht
Roerei met Parmezaan en paddenstoelen ,False,lunch
Linzenstoof met bloemkool en vegastukjes,False,hoofdgerecht
Aubergine-tomatensoep met flatbread,False,hoofdgerecht
Kipshoarma met pita en paprika,False,hoofdgerecht
Jackfruitgoulash,False,hoofdgerecht
"Kip uit de oven met cajunkruiden, ovengroente en tomatensalsa",False,hoofdgerecht
"Ovenschotel van pasta, groente en balletjes",False,hoofdgerecht
Gebakken kabeljauw met bloemkoolpuree ,False,hoofdgerecht
Burrito's met vegetarische stukjes als van kip,False,hoofdgerecht
Erwtensoep met vega rookworst,False,hoofdgerecht
Groentelasagne met vegetarisch Gehackt,False,hoofdgerecht
Bami met vegetarische Kipstuckjes en gebakken ei,False,hoofdgerecht
Spaghetti bolognese met vegetarisch Gehackt,False,hoofdgerecht
Pasta pesto met tomatensalade,False,hoofdgerecht
Boerenkoolstamppot met vega rookworst en Speck,False,hoofdgerecht
Vegetarische kip kerrie met rijst ,False,hoofdgerecht
Shakshuka met couscous,False,hoofdgerecht
Vegetarische burger met friet,False,hoofdgerecht
"Vegetarische schnitzel met krieltjes, groente en kaassaus",False,hoofdgerecht
Traybake kip tandoori met kikkererwten en tomaat,False,hoofdgerecht
Groninger mosterdsoep met knolselderij en rookworst,False,hoofdgerecht
Zoete-aardappelstamppot met witlof en tartaar ,False,hoofdgerecht
"Snelle rijstschotel met mais, courgette en tonijn  ",False,hoofdgerecht
"Broodje verse roomkaas, gegrilde ham en ei",False,lunch
Biefstuk met rodewijnsaus en geroosterde aardappelen,False,hoofdgerecht
Marokkaanse herfststoof met aardappel en tuinboontjes,False,hoofdgerecht
Groenteburgers met krieltjes,False,hoofdgerecht
Afghaanse pompoenstoof,False,hoofdgerecht
Platbrood uit de grilpan,False,hoofdgerecht
Vega aardappelcurry met boontjes en roti,False,hoofdgerecht
Risotto alla Milanese met rundersukade,False,hoofdgerecht
Tomatenrisotto met basilicum uit de oven,False,hoofdgerecht
Mini hamburgertjes en mini puntzakje Franse friet,False,hoofdgerecht
Ovenschotel met gehakt en spitskool,False,hoofdgerecht
Sticky kip rijstbowl,False,hoofdgerecht
Pompoenstamp met witlof en tartaartballetjes,False,hoofdgerecht
Vegan pasta met prei en bonensaus,False,hoofdgerecht
"Open lasagne met rucola, pestosaus en warmgerookte zalm",False,hoofdgerecht
"Snelle chili sin carne met guacamole, bloemkoolrijst en gegrilde paprika",False,hoofdgerecht
Umamibomkom van Yvette van Boven,False,hoofdgerecht
Homemade kaasschnitzels met gepofte zoete aardappel,False,hoofdgerecht
Gratin van knolselderij met komijnekaas en zuurkool,False,hoofdgerecht
Zaanse kaasfondue,False,hoofdgerecht
"Aardappelpuree met kaas, groenten en kaaskoekjes",False,hoofdgerecht
Bloemkoolquiche met oude kaas,False,hoofdgerecht
Rijstbowl met pompoen,False,hoofdgerecht
